epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7482,1.72874,2.82227,1.5941,0.49684,0.41398,0.42696,0.19575,1.72937,2.15029,1.64202,0.000663866,0.000663866,0.000663866
2,33.4822,1.70068,2.0245,1.56743,0.45893,0.41042,0.39642,0.18254,1.76344,1.96623,1.66134,0.00131736,0.00131736,0.00131736
3,47.5863,1.71762,1.85613,1.58415,0.50272,0.45791,0.44461,0.21188,1.77485,1.92979,1.66391,0.00195765,0.00195765,0.00195765
4,61.5411,1.66548,1.69142,1.53056,0.56864,0.51737,0.54172,0.27042,1.649,1.65701,1.56115,0.0019406,0.0019406,0.0019406
5,75.4932,1.63898,1.63635,1.53398,0.60634,0.55645,0.59423,0.31591,1.57024,1.55329,1.51293,0.0019208,0.0019208,0.0019208
6,89.4457,1.61289,1.55185,1.492,0.59419,0.57661,0.58742,0.31552,1.55729,1.62249,1.4893,0.001901,0.001901,0.001901
7,103.404,1.5811,1.50845,1.47363,0.66147,0.60349,0.67185,0.3602,1.53419,1.396,1.4509,0.0018812,0.0018812,0.0018812
8,117.352,1.55875,1.42811,1.45417,0.64298,0.65599,0.68887,0.36037,1.54519,1.32541,1.46551,0.0018614,0.0018614,0.0018614
9,131.338,1.54842,1.41577,1.44702,0.70023,0.6248,0.6937,0.37393,1.51325,1.32278,1.44322,0.0018416,0.0018416,0.0018416
10,145.276,1.5393,1.39553,1.44692,0.68399,0.64785,0.70492,0.38294,1.53183,1.316,1.51107,0.0018218,0.0018218,0.0018218
11,159.284,1.53175,1.36768,1.43916,0.69622,0.64785,0.72577,0.39308,1.48093,1.33778,1.4519,0.001802,0.001802,0.001802
12,173.225,1.51714,1.34748,1.4182,0.69541,0.61425,0.68621,0.39582,1.4464,1.26666,1.39641,0.0017822,0.0017822,0.0017822
13,187.228,1.50853,1.28773,1.41192,0.66364,0.64516,0.6967,0.39449,1.45396,1.2718,1.42613,0.0017624,0.0017624,0.0017624
