epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.9388,1.60158,2.97471,3.11024,1.48417,0,0.27639,0.2043,0.15472,0.0619,0.24905,0.1586,0.11649,0.04116,1.98022,3.8699,3.03045,1.87469,0,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632
2,67.9056,1.52535,2.53884,2.12396,1.3324,0,0.59727,0.53629,0.56365,0.29485,0.60391,0.53629,0.56188,0.27964,1.50921,2.58558,1.72509,1.35702,0,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668
3,94.4667,1.5805,2.58799,1.8725,1.37725,0,0.51359,0.4879,0.44176,0.20613,0.52086,0.47043,0.4207,0.19428,1.72773,2.88999,2.04483,1.58689,0,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405
4,120.03,1.62915,2.59478,1.7714,1.42629,0,0.56424,0.56183,0.56626,0.28254,0.61149,0.52889,0.56921,0.2692,1.63418,2.62488,1.60567,1.46988,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,145.603,1.59926,2.54056,1.64251,1.41021,0,0.48704,0.51478,0.4962,0.26087,0.47432,0.50134,0.46713,0.22747,1.56241,2.69088,1.71171,1.42764,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,171.131,1.55962,2.44828,1.54828,1.39092,0,0.65867,0.62634,0.68343,0.38165,0.68294,0.59274,0.67209,0.35313,1.4738,2.38736,1.34514,1.32572,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,196.638,1.54058,2.4382,1.48608,1.37978,0,0.67616,0.65188,0.69043,0.37835,0.67698,0.64785,0.69324,0.35004,1.45652,2.34971,1.33298,1.37276,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,222.207,1.51769,2.42345,1.46892,1.37085,0,0.64646,0.62427,0.6623,0.37194,0.62707,0.64651,0.65911,0.34251,1.46776,2.38538,1.36339,1.36872,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,247.814,1.50992,2.37117,1.41939,1.36401,0,0.74898,0.64969,0.73277,0.40724,0.74286,0.66532,0.73414,0.37818,1.46666,2.31733,1.24317,1.37232,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,273.259,1.48511,2.33596,1.35653,1.34532,0,0.72713,0.63036,0.70933,0.40205,0.73178,0.63439,0.70863,0.37001,1.40707,2.31932,1.26494,1.31193,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,298.699,1.46217,2.29169,1.3256,1.32478,0,0.7411,0.65457,0.72886,0.4117,0.74044,0.65726,0.71555,0.37937,1.4069,2.33836,1.2311,1.32939,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,324.282,1.45266,2.26622,1.30215,1.32597,0,0.68095,0.65457,0.6977,0.39821,0.6748,0.64919,0.68914,0.35946,1.40068,2.41379,1.27502,1.3254,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,349.75,1.43572,2.26182,1.27319,1.31486,0,0.69837,0.6753,0.70666,0.39651,0.72264,0.63978,0.68444,0.3551,1.42369,2.37424,1.30967,1.36304,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,375.189,1.43449,2.25677,1.26174,1.31116,0,0.65619,0.71774,0.72536,0.42011,0.66719,0.6922,0.72006,0.38175,1.41129,2.32778,1.23731,1.32754,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,400.848,1.41215,2.23668,1.25037,1.30121,0,0.74388,0.73253,0.78164,0.46766,0.72521,0.73656,0.76745,0.4273,1.35496,2.19698,1.09942,1.29138,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,426.26,1.40331,2.21035,1.19895,1.29554,0,0.7648,0.70296,0.77605,0.45241,0.76894,0.70226,0.76903,0.41716,1.36184,2.24148,1.12926,1.31013,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,451.823,1.40346,2.20591,1.19385,1.28879,0,0.7268,0.68817,0.73058,0.43464,0.7339,0.69489,0.74273,0.40433,1.35115,2.14567,1.15756,1.30041,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,477.367,1.3857,2.18777,1.17125,1.28743,0,0.73785,0.68473,0.76066,0.45987,0.74436,0.68414,0.75462,0.42239,1.33821,2.17965,1.09688,1.2699,0,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,502.798,1.36863,2.16689,1.1684,1.26971,0,0.72014,0.71592,0.77126,0.4561,0.73958,0.68708,0.75154,0.41284,1.34291,2.22416,1.11016,1.27845,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,528.336,1.37097,2.12708,1.15909,1.27896,0,0.73761,0.68767,0.77169,0.46168,0.73722,0.69761,0.76933,0.42701,1.3412,2.16749,1.0784,1.30046,0,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,553.907,1.35081,2.12185,1.11894,1.26312,0,0.71641,0.72312,0.76738,0.45733,0.70576,0.71237,0.75136,0.40882,1.3579,2.24497,1.11511,1.27632,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,579.894,1.33253,2.09804,1.11358,1.25547,0,0.74754,0.69892,0.76424,0.45219,0.74035,0.6922,0.7458,0.40556,1.36273,2.25098,1.12819,1.2949,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,605.886,1.35389,2.1284,1.10613,1.27011,0,0.76412,0.77957,0.82318,0.50272,0.76409,0.77823,0.8184,0.46241,1.31715,2.09124,0.98521,1.27764,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
