epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,72.4077,1.52405,3.04716,5.89167,0.01085,3.49021,0.33715,0.24954,0.21714,0.10711,0.34442,0.25491,0.22072,0.10092,1.3679,2.8045,3.50197,0.01188,0,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632
2,118.322,1.42456,2.41456,2.95034,0.00955,2.00186,0.49011,0.43817,0.43604,0.22762,0.50271,0.4328,0.4335,0.21497,1.31702,2.50066,2.04109,0.01137,0,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668
3,159.771,1.54217,2.45941,2.23215,0.01074,1.96627,0.34258,0.28898,0.24075,0.1208,0.38779,0.26613,0.23614,0.10973,1.6749,3.03647,2.54708,0.01556,0,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405
4,200.18,1.63952,2.50895,2.00429,0.01152,1.89174,0.55566,0.53619,0.53334,0.25122,0.56467,0.52419,0.53294,0.24678,1.72228,2.46976,1.76948,0.01587,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,240.281,1.69675,2.47108,1.88949,0.01217,1.83449,0.55494,0.54468,0.52938,0.27604,0.56514,0.55242,0.53349,0.25776,1.54614,2.407,1.64832,0.01408,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,280.47,1.68158,2.40826,1.80588,0.01227,1.76841,0.35259,0.3499,0.28914,0.13366,0.35123,0.34855,0.28383,0.12735,1.87142,2.87865,2.61218,0.01786,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,320.605,1.6762,2.40651,1.75903,0.01192,1.74395,0.62568,0.59312,0.60301,0.30229,0.62947,0.5891,0.60397,0.28755,1.63791,2.4424,1.5199,0.01513,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,360.601,1.66663,2.40183,1.73414,0.01179,1.70725,0.56639,0.5899,0.58692,0.30005,0.56639,0.5899,0.59093,0.28399,1.66408,2.37895,1.56126,0.01547,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,400.693,1.66912,2.34776,1.65895,0.01185,1.6461,0.60213,0.55531,0.6,0.31636,0.57781,0.57661,0.58466,0.28855,1.61137,2.43149,1.52508,0.01478,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,440.659,1.66021,2.3301,1.58877,0.01172,1.61221,0.69134,0.60484,0.67075,0.36775,0.69493,0.61235,0.66418,0.34829,1.57492,2.25132,1.29134,0.0142,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
