epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7666,1.54264,2.92665,5.58192,0.01062,5.25629,0.44394,0.32661,0.33741,0.14019,0.44592,0.33065,0.33493,0.14338,1.63315,2.65085,3.0257,0.01466,0,0.000663866,0.000663866,0.000663866
2,74.324,1.61407,2.57942,2.69386,0.01113,2.05262,0.45987,0.46774,0.4285,0.19526,0.45865,0.46237,0.41364,0.17806,1.69996,3.19605,1.98905,0.01588,0,0.00131736,0.00131736,0.00131736
3,104.667,1.71204,2.58922,2.16887,0.01253,1.93522,0.46353,0.51478,0.4475,0.2163,0.48007,0.52823,0.46761,0.21487,1.64698,2.56186,1.84866,0.01505,0,0.00195765,0.00195765,0.00195765
4,135.165,1.71082,2.55762,2.00873,0.01217,1.94446,0.46218,0.48118,0.42433,0.18041,0.47139,0.47043,0.4321,0.20188,1.80621,2.54082,1.9477,0.01744,0,0.0019406,0.0019406,0.0019406
5,164.822,1.73589,2.51631,1.90794,0.01274,1.81576,0.56459,0.54301,0.54239,0.27736,0.56188,0.55376,0.54909,0.2784,1.63456,2.38701,1.64504,0.01515,0,0.0019208,0.0019208,0.0019208
6,194.319,1.6731,2.43026,1.82675,0.01212,1.76403,0.57704,0.54644,0.58056,0.24949,0.55302,0.56586,0.56727,0.26304,1.84246,2.61402,1.61419,0.01829,0,0.001901,0.001901,0.001901
7,223.513,1.70289,2.42828,1.72689,0.01228,1.73038,0.61534,0.55242,0.57338,0.29169,0.61319,0.56252,0.57738,0.282,1.64962,2.46368,1.56458,0.01504,0,0.0018812,0.0018812,0.0018812
8,252.977,1.71125,2.37838,1.64186,0.01219,1.62158,0.52993,0.47849,0.47557,0.21954,0.54697,0.48118,0.48003,0.23589,1.81363,2.47377,1.88346,0.0176,0,0.0018614,0.0018614,0.0018614
9,282.273,1.68416,2.37332,1.66475,0.01199,1.67609,0.6194,0.58199,0.61817,0.30174,0.61061,0.58871,0.61427,0.3004,1.66845,2.30449,1.44317,0.01507,0,0.0018416,0.0018416,0.0018416
10,311.714,1.63614,2.35673,1.53641,0.01157,1.53968,0.60246,0.61022,0.61519,0.30796,0.59924,0.61022,0.60647,0.2964,1.6712,2.34826,1.45355,0.01558,0,0.0018218,0.0018218,0.0018218
11,341.384,1.66256,2.32378,1.55805,0.0116,1.56595,0.66632,0.6371,0.67794,0.33092,0.68466,0.63844,0.68223,0.3331,1.69327,2.26345,1.36447,0.01561,0,0.001802,0.001802,0.001802
12,371.065,1.64615,2.31718,1.58781,0.0115,1.54618,0.57946,0.61425,0.62155,0.32206,0.57692,0.61156,0.61589,0.32206,1.56564,2.23923,1.41971,0.01412,0,0.0017822,0.0017822,0.0017822
13,400.958,1.65401,2.30183,1.52106,0.01159,1.5896,0.6682,0.64651,0.67842,0.34879,0.67547,0.64345,0.68563,0.3457,1.60585,2.16556,1.29844,0.01494,0,0.0017624,0.0017624,0.0017624
14,430.281,1.62724,2.31276,1.55891,0.0116,1.56527,0.62964,0.65457,0.67224,0.33791,0.6419,0.66935,0.67751,0.34291,1.65966,2.20285,1.34843,0.01545,0,0.0017426,0.0017426,0.0017426
15,459.177,1.61341,2.28047,1.48337,0.01143,1.45194,0.62794,0.63289,0.66807,0.36854,0.63887,0.64913,0.67421,0.34807,1.48095,2.1992,1.33119,0.01316,0,0.0017228,0.0017228,0.0017228
16,488.254,1.60275,2.2589,1.46676,0.01128,1.45019,0.67333,0.63441,0.67843,0.37571,0.66442,0.64113,0.67299,0.3483,1.47388,2.2268,1.32814,0.01317,0,0.001703,0.001703,0.001703
17,517.54,1.58335,2.19438,1.41343,0.01103,1.37071,0.66475,0.58871,0.64378,0.36661,0.68896,0.60437,0.66594,0.3521,1.44866,2.17354,1.33784,0.01279,0,0.0016832,0.0016832,0.0016832
18,546.529,1.59621,2.23998,1.41659,0.01123,1.41336,0.65858,0.71371,0.72086,0.4,0.67414,0.68548,0.72031,0.38658,1.54134,2.11962,1.15638,0.01411,0,0.0016634,0.0016634,0.0016634
19,575.382,1.5472,2.16897,1.37747,0.01082,1.37903,0.63336,0.65709,0.67815,0.36761,0.63777,0.64843,0.67377,0.35577,1.4994,2.21323,1.28323,0.01361,0,0.0016436,0.0016436,0.0016436
20,603.905,1.5466,2.19447,1.35162,0.01088,1.32072,0.72089,0.68817,0.72954,0.41656,0.7405,0.69355,0.74966,0.39235,1.43105,2.12841,1.15603,0.01261,0,0.0016238,0.0016238,0.0016238
21,633.411,1.5705,2.16167,1.32505,0.01106,1.3311,0.61786,0.63172,0.64734,0.35426,0.62501,0.63306,0.65705,0.33338,1.55292,2.28552,1.34925,0.01417,0,0.001604,0.001604,0.001604
22,662.493,1.53981,2.17618,1.33611,0.01063,1.30399,0.736,0.69698,0.73605,0.42818,0.73944,0.70565,0.73522,0.39963,1.42376,2.14742,1.13745,0.01272,0,0.0015842,0.0015842,0.0015842
23,691.623,1.55305,2.24159,1.33779,0.01061,1.27902,0.68543,0.65604,0.70885,0.40703,0.69105,0.66141,0.71041,0.38528,1.44646,2.23417,1.20083,0.0127,0,0.0015644,0.0015644,0.0015644
24,720.941,1.55602,2.18421,1.33873,0.01076,1.3405,0.67011,0.69086,0.69811,0.40165,0.67056,0.67608,0.69011,0.377,1.44744,2.17113,1.20799,0.01287,0,0.0015446,0.0015446,0.0015446
25,750.071,1.55437,2.14712,1.30223,0.0107,1.28532,0.69439,0.69629,0.72868,0.41325,0.69573,0.69764,0.73247,0.39268,1.43395,2.11209,1.16103,0.01254,0,0.0015248,0.0015248,0.0015248
26,779.204,1.54035,2.14322,1.31882,0.01083,1.32544,0.68716,0.67902,0.72841,0.3944,0.66423,0.72177,0.73076,0.38548,1.53805,2.12261,1.19259,0.01384,0,0.001505,0.001505,0.001505
27,808.577,1.538,2.15872,1.31088,0.01066,1.29892,0.7234,0.68683,0.74255,0.43138,0.74001,0.69624,0.75374,0.40529,1.41693,2.17495,1.10086,0.01224,0,0.0014852,0.0014852,0.0014852
28,837.54,1.52822,2.13741,1.29864,0.01048,1.29215,0.71208,0.67814,0.73826,0.43691,0.72915,0.69892,0.75297,0.41122,1.37888,2.05523,1.11489,0.01221,0,0.0014654,0.0014654,0.0014654
29,866.651,1.49098,2.11967,1.2613,0.01049,1.25853,0.7251,0.70197,0.75927,0.44338,0.72536,0.70288,0.75346,0.41466,1.37921,2.05221,1.09496,0.01211,0,0.0014456,0.0014456,0.0014456
30,895.925,1.50653,2.11559,1.25287,0.01028,1.23773,0.72348,0.71102,0.75136,0.42735,0.72895,0.7164,0.75153,0.40155,1.43235,2.10992,1.12232,0.01253,0,0.0014258,0.0014258,0.0014258
31,925.486,1.5178,2.15875,1.25723,0.01052,1.24509,0.73219,0.71371,0.75588,0.43937,0.75808,0.68414,0.76091,0.41825,1.39407,2.10163,1.07294,0.01212,0,0.001406,0.001406,0.001406
32,954.562,1.4996,2.0879,1.24945,0.01037,1.20391,0.73254,0.67368,0.74441,0.4312,0.73893,0.67876,0.74912,0.40625,1.40427,2.10702,1.10702,0.01227,0,0.0013862,0.0013862,0.0013862
33,984.005,1.49394,2.10045,1.23976,0.01016,1.23293,0.71273,0.70027,0.74034,0.42532,0.7181,0.70027,0.73665,0.40523,1.43719,2.08237,1.14478,0.01271,0,0.0013664,0.0013664,0.0013664
34,1013.13,1.48377,2.06223,1.24145,0.01018,1.21832,0.69252,0.65054,0.70208,0.39105,0.68904,0.64651,0.67882,0.3555,1.45327,2.3049,1.30151,0.01288,0,0.0013466,0.0013466,0.0013466
35,1042.35,1.49099,2.09059,1.24313,0.0102,1.25788,0.74064,0.68322,0.73251,0.44513,0.75639,0.68952,0.74983,0.41775,1.35103,2.02545,1.08141,0.01182,0,0.0013268,0.0013268,0.0013268
36,1071.43,1.46994,2.04725,1.21389,0.01009,1.2014,0.73671,0.73712,0.78271,0.46813,0.73848,0.73632,0.77593,0.4301,1.37075,2.05385,0.98522,0.012,0,0.001307,0.001307,0.001307
37,1100.54,1.45681,2.03895,1.15284,0.00991,1.1194,0.77748,0.71774,0.78922,0.45997,0.77047,0.71371,0.77047,0.44311,1.4387,2.00667,0.9705,0.01285,0,0.0012872,0.0012872,0.0012872
38,1129.62,1.46253,2.057,1.18552,0.01004,1.15298,0.72919,0.72383,0.76026,0.4595,0.72895,0.72446,0.7559,0.42567,1.40166,2.05156,1.02581,0.01213,0,0.0012674,0.0012674,0.0012674
39,1158.87,1.45761,2.0398,1.1901,0.00999,1.1651,0.75544,0.72581,0.77927,0.46483,0.7512,0.73522,0.77527,0.44481,1.35551,2.00581,1.02011,0.0118,0,0.0012476,0.0012476,0.0012476
40,1187.93,1.44846,2.0547,1.15179,0.00991,1.13836,0.7634,0.69489,0.77379,0.47098,0.77226,0.70296,0.77953,0.44109,1.35283,1.99878,1.0023,0.01195,0,0.0012278,0.0012278,0.0012278
